"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/shakir/development/13floor/App/src/App.css", "CSS", 0, 0, 0, 0, 2, 2
"/Users/shakir/development/13floor/App/src/App.jsx", "JavaScript JSX", 23, 0, 0, 1, 4, 28
"/Users/shakir/development/13floor/App/src/assets/index.jsx", "JavaScript JSX", 212, 0, 0, 3, 33, 248
"/Users/shakir/development/13floor/App/src/components/complex/ActionCard/ActionCard.css", "CSS", 0, 134, 0, 0, 10, 144
"/Users/shakir/development/13floor/App/src/components/complex/ActionCard/ActionCard.jsx", "JavaScript JSX", 71, 0, 0, 13, 2, 86
"/Users/shakir/development/13floor/App/src/components/complex/ActivityTraining/ActivityTraining.css", "CSS", 0, 9, 0, 0, 2, 11
"/Users/shakir/development/13floor/App/src/components/complex/ActivityTraining/ActivityTraining.jsx", "JavaScript JSX", 139, 0, 0, 0, 4, 143
"/Users/shakir/development/13floor/App/src/components/complex/ActivityWork/ActivityWork.css", "CSS", 0, 60, 0, 0, 6, 66
"/Users/shakir/development/13floor/App/src/components/complex/ActivityWork/ActivityWork.jsx", "JavaScript JSX", 266, 0, 0, 5, 8, 279
"/Users/shakir/development/13floor/App/src/components/complex/CareHappiness/CareHappiness.css", "CSS", 0, 9, 0, 0, 2, 11
"/Users/shakir/development/13floor/App/src/components/complex/CareHappiness/CareHappiness.jsx", "JavaScript JSX", 99, 0, 0, 0, 5, 104
"/Users/shakir/development/13floor/App/src/components/complex/CareHungry/CareHungry.css", "CSS", 0, 9, 0, 0, 2, 11
"/Users/shakir/development/13floor/App/src/components/complex/CareHungry/CareHungry.jsx", "JavaScript JSX", 99, 0, 0, 0, 4, 103
"/Users/shakir/development/13floor/App/src/components/complex/CareStore/CareStore.css", "CSS", 0, 108, 0, 0, 9, 117
"/Users/shakir/development/13floor/App/src/components/complex/CareStore/CareStore.jsx", "JavaScript JSX", 190, 0, 0, 0, 4, 194
